layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,100,1500000.0,2,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,1486471.544553656,0,902297.176619648,584174.3679340079,0,0,0.0,0,4.704263543576533,9.498571702698793,8169.591647266075,2081.7163648070527,3.924449932459116,2.022926620805511,313.9136614657743,0.0,0.043478260869565216,0.0,3.976765291182264,29.147058823529413,0.5943600867678959,3353.5645799721024,34,15.542130470275879
paper,100,1500000.0,2,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,1623743.2845895833,0,946951.3922801086,676791.8923094748,0,0,0.0,0,4.539162858794823,14.77763206274011,8478.86425558954,1338.8348866240483,6.333017118316584,2.0217531186611017,313.19383064810626,0.0,0.08695652173913043,0.0,3.993727790606524,30.5,0.6187904967602592,3188.8166636610645,34,16.070444583892822
paper,100,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,953335.6488830247,0,621778.5174505458,331557.131432479,0,0,0.0,0,4.704263543576533,8.969695511431137,8169.591647266075,2211.09357160158,3.694819501170421,2.0168572880588975,310.1996232835485,0.0,0.019801980198019802,0.0,2.691726303259435,19.22972972972973,0.7094668117519043,2291.6839193013225,74,21.969882249832153
paper,100,1500000.0,3,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,1003152.1557811116,0,630515.3131802555,372636.84260085603,0,0,0.0,0,4.539162858794823,14.943326667881186,8478.86425558954,1328.2274519043026,6.383593595685172,2.0153025242841256,309.2517647453153,0.0,0.0297029702970297,0.0,2.692593869877002,21.594594594594593,0.7454153182308522,2044.828087811295,74,22.88373589515686
paper,100,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,738359.6408133311,0,512218.3241492148,226141.31666411637,0,0,0.0,0,4.704263543576533,8.460356617103633,8169.591647266075,2347.64157839391,3.4799143627602347,2.01390754582551,308.4025534445727,0.0,0.011235955056179775,0.0,2.030180004971259,13.676691729323307,0.7689804772234273,1827.249631634057,133,25.101082801818848
paper,100,1500000.0,5,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,1165099.9923994371,0,971822.9576293677,193277.03477006935,0,3,0.5054827053346381,4,4.704263543576533,7.660899664240462,8169.591647266075,2594.968020769963,3.1482436707802064,2.012093725653177,307.30011285195815,0.0,0.010869565217391304,0.0,1.6221165524634655,10.184466019417476,0.7859495060373216,1562.5592565045433,206,32.218973875045776
paper,100,1500000.0,4,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,736408.5382316451,0,500218.969510369,236189.56872127613,0,0,0.0,0,4.539162858794823,13.46301876340568,8478.86425558954,1476.588944341944,5.742196762395663,2.012138763981338,307.32746326610106,0.0,0.0,0.0,2.02498605299205,15.864661654135338,0.789760348583878,1570.665687299545,133,32.37709188461304
paper,100,1500000.0,2,3,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,1600922.409179929,0,936754.3152977662,664168.0938821627,0,0,0.0,0,5.054127002413989,15.686244556017186,7580.990936890765,1261.6391313361328,6.008842583110238,2.021184034353139,312.8450496053259,0.0,0.06521739130434782,0.0,3.9896007827096773,30.5,0.5827186512118019,3200.31512642994,34,18.949322938919067
paper,100,1500000.0,5,2,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,808804.9722682093,0,626372.8548698564,182432.11739835292,0,2,0.27174455776289663,2,4.539162858794823,12.057560898796462,8478.86425558954,1650.2834811560529,5.137822896736472,2.0102125254788623,306.1588039903142,0.0,0.0036101083032490976,0.0,1.6302432654884225,12.231884057971014,0.8143322475570033,1306.6167476465887,207,38.637516260147095
paper,100,1500000.0,6,1,exclude,launch,0,0.0,prior,0.0,sa,12600.0,43200,1816523.299190569,0,1619905.1007672618,196618.1984233072,0,9,0.7600499610761725,10,4.704263543576533,7.462729349996568,8169.591647266075,2665.9705003132417,3.06439686647177,2.0105133463422984,306.341166940773,0.0,0.0,0.0,1.3524878952260433,8.050167224080267,0.7848518111964874,1368.6010644491407,299,41.194273710250854
